id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI036,THAI,2020-02-05 00:00:00,2020.0983607,36,-1150486.07743,6080853.89847,1537596.42783,47,685044.8293,1553154.1424,14.043005758481,100.713616599576,-7.2836,22.9743
THAI037,THAI,2020-02-06 00:00:00,2020.1010929,37,-1150486.08431,6080853.90882,1537596.43091,47,685044.8342,1553154.1427,14.043005760343,100.713616644340,-7.2718,22.9861
THAI038,THAI,2020-02-07 00:00:00,2020.1038251,38,-1150486.08017,6080853.91119,1537596.43030,47,685044.8297,1553154.1416,14.043005751568,100.713616602617,-7.2704,22.9875
THAI041,THAI,2020-02-10 00:00:00,2020.1120219,41,-1150486.08062,6080853.90898,1537596.42868,47,685044.8305,1553154.1406,14.043005741974,100.713616610514,-7.2728,22.9851
THAI042,THAI,2020-02-11 00:00:00,2020.1147541,42,-1150486.07967,6080853.91421,1537596.42922,47,685044.8286,1553154.1399,14.043005735796,100.713616592935,-7.2679,22.9900
THAI043,THAI,2020-02-12 00:00:00,2020.1174863,43,-1150486.08117,6080853.90352,1537596.42529,47,685044.8321,1553154.1386,14.043005723760,100.713616624985,-7.2787,22.9791
THAI044,THAI,2020-02-13 00:00:00,2020.1202186,44,-1150486.07835,6080853.90389,1537596.42644,47,685044.8293,1553154.1397,14.043005734161,100.713616598623,-7.2786,22.9792
THAI045,THAI,2020-02-14 00:00:00,2020.1229508,45,-1150486.08243,6080853.91304,1537596.42806,47,685044.8316,1553154.1389,14.043005727037,100.713616620055,-7.2688,22.9891
THAI046,THAI,2020-02-15 00:00:00,2020.1256831,46,-1150486.07827,6080853.90949,1537596.43223,47,685044.8281,1553154.1440,14.043005772927,100.713616588262,-7.2719,22.9860
THAI047,THAI,2020-02-16 00:00:00,2020.1284153,47,-1150486.07838,6080853.90720,1537596.43206,47,685044.8286,1553154.1444,14.043005776302,100.713616593231,-7.2741,22.9838
THAI072,THAI,2020-03-12 00:00:00,2020.1967213,72,-1150486.08366,6080853.90272,1537596.42716,47,685044.8347,1553154.1405,14.043005740851,100.713616648994,-7.2786,22.9793
THAI073,THAI,2020-03-13 00:00:00,2020.1994536,73,-1150486.08302,6080853.91184,1537596.42981,47,685044.8324,1553154.1409,14.043005744666,100.713616627416,-7.2694,22.9885
THAI074,THAI,2020-03-14 00:00:00,2020.2021858,74,-1150486.08666,6080853.91293,1537596.43037,47,685044.8357,1553154.1411,14.043005745820,100.713616658683,-7.2676,22.9903
THAI076,THAI,2020-03-16 00:00:00,2020.2076503,76,-1150486.08461,6080853.90985,1537596.42937,47,685044.8343,1553154.1409,14.043005744506,100.713616645303,-7.2711,22.9868
THAI078,THAI,2020-03-18 00:00:00,2020.2131148,78,-1150486.08372,6080853.91147,1537596.42935,47,685044.8331,1553154.1405,14.043005741192,100.713616634482,-7.2697,22.9882
THAI079,THAI,2020-03-19 00:00:00,2020.2158470,79,-1150486.08216,6080853.90249,1537596.42811,47,685044.8332,1553154.1415,14.043005750303,100.713616635717,-7.2789,22.9790
THAI080,THAI,2020-03-20 00:00:00,2020.2185792,80,-1150486.08188,6080853.89841,1537596.42726,47,685044.8337,1553154.1417,14.043005751725,100.713616640194,-7.2830,22.9749
THAI081,THAI,2020-03-21 00:00:00,2020.2213115,81,-1150486.08599,6080853.91857,1537596.42916,47,685044.8340,1553154.1386,14.043005723266,100.713616642930,-7.2626,22.9953
THAI082,THAI,2020-03-22 00:00:00,2020.2240437,82,-1150486.08463,6080853.90915,1537596.42942,47,685044.8344,1553154.1411,14.043005746413,100.713616646754,-7.2718,22.9861
THAI084,THAI,2020-03-24 00:00:00,2020.2295082,84,-1150486.08511,6080853.91530,1537596.43137,47,685044.8338,1553154.1415,14.043005750045,100.713616640510,-7.2653,22.9925
THAI087,THAI,2020-03-27 00:00:00,2020.2377049,87,-1150486.08409,6080853.90407,1537596.42843,47,685044.8348,1553154.1414,14.043005748938,100.713616650537,-7.2769,22.9809
THAI089,THAI,2020-03-29 00:00:00,2020.2431694,89,-1150486.08619,6080853.91726,1537596.43092,47,685044.8345,1553154.1406,14.043005741515,100.713616646939,-7.2634,22.9945
THAI090,THAI,2020-03-30 00:00:00,2020.2459016,90,-1150486.08673,6080853.90913,1537596.42895,47,685044.8365,1553154.1406,14.043005741515,100.713616665865,-7.2715,22.9864
THAI091,THAI,2020-03-31 00:00:00,2020.2486339,91,-1150486.08464,6080853.91214,1537596.43038,47,685044.8339,1553154.1413,14.043005748355,100.713616641639,-7.2687,22.9892
THAI093,THAI,2020-04-02 00:00:00,2020.2540984,93,-1150486.08669,6080853.90790,1537596.42924,47,685044.8367,1553154.1412,14.043005746711,100.713616667659,-7.2726,22.9853
THAI097,THAI,2020-04-06 00:00:00,2020.2650273,97,-1150486.08700,6080853.91594,1537596.42892,47,685044.8355,1553154.1389,14.043005726414,100.713616656575,-7.2650,22.9929
THAI098,THAI,2020-04-07 00:00:00,2020.2677596,98,-1150486.08441,6080853.90817,1537596.42978,47,685044.8344,1553154.1417,14.043005751752,100.713616646390,-7.2726,22.9852
THAI101,THAI,2020-04-10 00:00:00,2020.2759563,101,-1150486.08772,6080853.91213,1537596.43334,47,685044.8369,1553154.1441,14.043005773115,100.713616669726,-7.2674,22.9905
THAI102,THAI,2020-04-11 00:00:00,2020.2786885,102,-1150486.08973,6080853.91834,1537596.43286,47,685044.8377,1553154.1421,14.043005754703,100.713616677262,-7.2612,22.9966
THAI103,THAI,2020-04-12 00:00:00,2020.2814208,103,-1150486.08476,6080853.91033,1537596.43153,47,685044.8343,1553154.1429,14.043005762303,100.713616645876,-7.2701,22.9878
THAI104,THAI,2020-04-13 00:00:00,2020.2841530,104,-1150486.08497,6080853.90232,1537596.42421,47,685044.8361,1553154.1377,14.043005715326,100.713616661574,-7.2795,22.9784
THAI105,THAI,2020-04-14 00:00:00,2020.2868852,105,-1150486.08851,6080853.91804,1537596.42950,47,685044.8366,1553154.1389,14.043005726390,100.713616666768,-7.2626,22.9953
THAI106,THAI,2020-04-15 00:00:00,2020.2896175,106,-1150486.08908,6080853.92309,1537596.43005,47,685044.8362,1553154.1382,14.043005720093,100.713616663194,-7.2575,23.0004
THAI107,THAI,2020-04-16 00:00:00,2020.2923497,107,-1150486.08761,6080853.90899,1537596.42917,47,685044.8374,1553154.1408,14.043005743368,100.713616674076,-7.2714,22.9864
THAI108,THAI,2020-04-17 00:00:00,2020.2950820,108,-1150486.08292,6080853.90220,1537596.42624,47,685044.8341,1553154.1398,14.043005734252,100.713616643160,-7.2795,22.9784
THAI109,THAI,2020-04-18 00:00:00,2020.2978142,109,-1150486.08474,6080853.90711,1537596.42898,47,685044.8349,1553154.1412,14.043005746952,100.713616651282,-7.2738,22.9841
THAI110,THAI,2020-04-19 00:00:00,2020.3005464,110,-1150486.08516,6080853.92348,1537596.43228,47,685044.8323,1553154.1404,14.043005740415,100.713616626849,-7.2573,23.0006
THAI112,THAI,2020-04-21 00:00:00,2020.3060109,112,-1150486.08861,6080853.91295,1537596.42871,47,685044.8377,1553154.1394,14.043005730405,100.713616676377,-7.2676,22.9903
THAI114,THAI,2020-04-23 00:00:00,2020.3114754,114,-1150486.08873,6080853.90985,1537596.42831,47,685044.8383,1553154.1397,14.043005733471,100.713616682793,-7.2706,22.9873
THAI129,THAI,2020-05-08 00:00:00,2020.3524590,129,-1150486.08632,6080853.90888,1537596.43028,47,685044.8361,1553154.1420,14.043005753857,100.713616662577,-7.2715,22.9864
THAI130,THAI,2020-05-09 00:00:00,2020.3551913,130,-1150486.08734,6080853.91173,1537596.42925,47,685044.8366,1553154.1402,14.043005738235,100.713616666950,-7.2688,22.9890
THAI131,THAI,2020-05-10 00:00:00,2020.3579235,131,-1150486.08675,6080853.91253,1537596.42994,47,685044.8359,1553154.1407,14.043005742800,100.713616660155,-7.2680,22.9899
THAI132,THAI,2020-05-11 00:00:00,2020.3606557,132,-1150486.09118,6080853.91996,1537596.43044,47,685044.8389,1553154.1393,14.043005729376,100.713616687751,-7.2600,22.9979
